TCONS_00000001	gene-SNX18_gGal-2
TCONS_00000116	gene-UBQLN1_tGut-2
TCONS_00000115	gene-UBQLN1_tGut-2
TCONS_00000113	gene-UBQLN1_tGut-2
TCONS_00000111	gene-UBQLN1_tGut-2
TCONS_00000110	gene-UBQLN1_tGut-2
TCONS_00000118	gene-UBQLN1_tGut-2
TCONS_00000117	gene-UBQLN1_tGut-2
TCONS_00000119	gene-PTCH1_tGut-1
TCONS_00000120	gene-PTCH1_tGut-1
TCONS_00000121	gene-PTCH1_tGut-1
TCONS_00000122	gene-PTCH1_tGut-1
TCONS_00000124	gene-LOC116806862_tGut-like-1
TCONS_00000123	gene-LOC116806862_tGut-like-1
TCONS_00000126	gene-LOC116806862_tGut-like-1
TCONS_00000125	gene-LOC116806862_tGut-like-1
TCONS_00000127	gene-TNPO1_tGut-like-1
TCONS_00000128	gene-TNPO1_tGut-like-1
TCONS_00000129	gene-FCHO2_tGut-like-2
TCONS_00000130	gene-LOC116806894_tGut-like-1
TCONS_00000131	gene-NTRK2_tGut-1
TCONS_00000132	gene-KIF2A_tGut-like-1
TCONS_00000136	gene-KIF2A_tGut-like-1
TCONS_00000135	gene-KIF2A_tGut-like-1
TCONS_00000134	gene-KIF2A_gGal-2
TCONS_00000133	gene-KIF2A_gGal-2
TCONS_00000138	gene-RFX3_gGal-2
TCONS_00000137	gene-RFX3_tGut-like-2
TCONS_00000139	gene-CDC37L1_gGal-2
TCONS_00000140	gene-CDC37L1_gGal-2
TCONS_00000141	gene-TBCA_tGut-2
TCONS_00000142	gene-MACIR_gGal-2
TCONS_00000143	gene-FEM1C_tGut-like-2
TCONS_00000146	gene-APBA1_tGut-2
TCONS_00000145	gene-APBA1_tGut-2
TCONS_00000144	gene-APBA1_tGut-2
TCONS_00000147	gene-SREK1_tGut-like-2
TCONS_00000148	gene-SREK1_gGal-2
TCONS_00000149	gene-LOC100189940_tGut-like-4
TCONS_00000151	gene-LOC100189940_tGut-like-4
TCONS_00000150	gene-HINT1_tGut-like-7
TCONS_00000152	gene-HINT1_tGut-like-7
TCONS_00000153	gene-HINT1_tGut-like-7
TCONS_00000154	gene-HINT1_tGut-like-7
TCONS_00000155	gene-HINT1_tGut-like-7
TCONS_00000156	gene-HINT1_tGut-like-7
TCONS_00000157	gene-GNAQ_gGal-1
TCONS_00000158	gene-GNAQ_gGal-1
TCONS_00000159	gene-ARRDC3_gGal-2
TCONS_00000160	gene-HOMER1_tGut-2
TCONS_00000161	gene-SMAD7_tGut-2
TCONS_00000162	gene-C18orf32_gGal-1
TCONS_00000163	gene-LOC116806757_tGut-like-1
TCONS_00000166	gene-LOC116806757_tGut-like-1
TCONS_00000165	gene-LOC116806757_tGut-like-1
TCONS_00000164	gene-LOC116806757_tGut-like-1
TCONS_00000167	gene-GPBP1_tGut-2
TCONS_00000169	gene-ZNF131_gGal-1
TCONS_00000168	gene-ZNF131_gGal-1
TCONS_00000171	gene-ZNF131_gGal-1
TCONS_00000170	gene-ZNF131_gGal-1
TCONS_00000172	gene-PAIP1_tGut-2
TCONS_00000173	gene-CKMT2_gGal-1
TCONS_00000174	gene-MRPS36_tGut-like-2
TCONS_00000175	gene-UBAP1_tGut-2
TCONS_00000176	gene-UBAP2_tGut-like-1
TCONS_00000178	gene-UBE2R2L_gGal-like-1
TCONS_00000177	gene-UBE2R2L_gGal-like-1
TCONS_00000179	gene-ZFAND5_gGal-2
TCONS_00000181	gene-CHD1_tGut-2
TCONS_00000180	gene-CHD1_tGut-2
TCONS_00000184	gene-ZFR2_gGal-like-1
TCONS_00000183	gene-LOC116806641_tGut-like-1
TCONS_00000182	gene-LOC116806641_tGut-like-1
TCONS_00000185	gene-GOLPH3_gGal-like-2
TCONS_00000186	gene-OPLAH_gGal-4
TCONS_00000187	gene-C2H8orf82_gGal-2
TCONS_00000188	gene-VGF_tGut
TCONS_00000189	gene-LOC100858386_gGal-like-2
TCONS_00000190	gene-LOC115492621_tGut-like-2
TCONS_00000191	gene-LRRC14_gGal-like-1
TCONS_00000192	gene-LOC115492621_tGut-like-2
TCONS_00000193	gene-ACHE_tGut-2
TCONS_00000194	gene-AP1S1_tGut-like-1
TCONS_00000195	gene-LOC121468488_tGut-4
TCONS_00000196	gene-LOC115492621_tGut-like-2
TCONS_00000197	gene-C32H17orf49_tGut-2
TCONS_00000198	gene-C32H17orf49_tGut-2
TCONS_00000199	gene-LOC100221528_tGut-2
TCONS_00000200	gene-ANTKMT_tGut-like-13
TCONS_00000201	gene-ZBTB7B_gGal-like-2
TCONS_00000202	gene-ZBTB7B_gGal-like-8
TCONS_00000203	gene-LIM2_gGal-like-1
TCONS_00000204	gene-LOC425940_gGal-1
TCONS_00000205	gene-LOC100221528_tGut-2
TCONS_00000206	gene-LOC115492965_tGut-like-6
TCONS_00000207	gene-LOC124417578_gGal-like-6
TCONS_00000208	gene-HOXB6_tGut-4
TCONS_00000209	gene-LOC121468596_tGut-like-3
TCONS_00000210	gene-LOC115492965_tGut-like-4
TCONS_00000211	gene-LOC115492946_tGut-like-1
TCONS_00000212	gene-LOC115492946_tGut-like-3
TCONS_00000213	gene-LAMTOR4_tGut-like-4
TCONS_00000215	gene-POLA2_gGal-2
TCONS_00000216	gene-LOC121468802_tGut-like-2
TCONS_00000214	gene-TAP1_gGal-like-4
TCONS_00000218	gene-MELK_tGut-1
TCONS_00000217	gene-MELK_tGut-1
TCONS_00000220	gene-ZCCHC7_tGut
TCONS_00000219	gene-ZCCHC7_tGut
TCONS_00000221	gene-GRHPR_tGut
TCONS_00000222	gene-POLR1E_tGut
TCONS_00000223	gene-SLC25A51_tGut
TCONS_00000224	gene-TRMT10B_tGut-3
TCONS_00000225	gene-TRMT10B_tGut-3
TCONS_00000226	gene-TOMM5_tGut-like-1
TCONS_00000227	gene-AK6_tGut-2
TCONS_00000229	gene-ZFYVE16_tGut
TCONS_00000228	gene-ZFYVE16_tGut
TCONS_00000230	gene-ZFYVE16_tGut
TCONS_00000231	gene-FAM151B_tGut
TCONS_00000232	gene-FAM151B_tGut
TCONS_00000233	gene-FAM151B_tGut
TCONS_00000234	gene-MSH3_tGut
TCONS_00000236	gene-RASGRF2_tGut
TCONS_00000235	gene-RASGRF2_tGut
TCONS_00000237	gene-CKMT2_gGal-2
TCONS_00000238	gene-ZCCHC9_tGut
TCONS_00000239	gene-ATG10_tGut-like-2
TCONS_00000240	gene-ATP6AP1L_tGut
TCONS_00000241	gene-XRCC4_tGut
TCONS_00000242	gene-XRCC4_tGut
TCONS_00000243	gene-XRCC4_tGut
TCONS_00000244	gene-VCAN_tGut
TCONS_00000245	gene-OPLAH_gGal-7
TCONS_00000246	gene-COX7C_tGut-2
TCONS_00000249	gene-CAST_tGut
TCONS_00000251	gene-CAST_tGut
TCONS_00000250	gene-CAST_tGut
TCONS_00000248	gene-CAST_tGut
TCONS_00000247	gene-CAST_tGut
TCONS_00000254	gene-CAST_tGut
TCONS_00000253	gene-CAST_tGut
TCONS_00000252	gene-CAST_tGut
TCONS_00000256	gene-CAST_tGut
TCONS_00000255	gene-CAST_tGut
TCONS_00000259	gene-CAST_tGut
TCONS_00000258	gene-CAST_tGut
TCONS_00000257	gene-CAST_tGut
TCONS_00000261	gene-CAST_tGut
TCONS_00000260	gene-CAST_tGut
TCONS_00000263	gene-CAST_tGut
TCONS_00000262	gene-CAST_tGut
TCONS_00000264	gene-CAST_tGut
TCONS_00000266	gene-FSD1L_tGut
TCONS_00000265	gene-FSD1L_tGut
TCONS_00000267	gene-FKTN_tGut
TCONS_00000268	gene-FKTN_tGut
TCONS_00000269	gene-TAL2_tGut
TCONS_00000270	gene-TMEM38B_tGut
TCONS_00000271	gene-TMEM38B_tGut
TCONS_00000272	gene-ZNF462_tGut
TCONS_00000273	gene-RAD23B_tGut
TCONS_00000274	gene-RAD23B_tGut
TCONS_00000275	gene-PHAX_tGut
TCONS_00000276	gene-LMNB1_tGut
TCONS_00000277	gene-MEGF10_tGut
TCONS_00000278	gene-PRRC1_tGut
TCONS_00000279	gene-PRRC1_tGut
TCONS_00000280	gene-LOC112530573_gGal
TCONS_00000282	gene-SLC12A2_tGut
TCONS_00000281	gene-SLC12A2_tGut
TCONS_00000283	gene-RIOK2_tGut
TCONS_00000284	gene-YTHDC2_gGal-1
TCONS_00000285	gene-YTHDC2_gGal-7
TCONS_00000286	gene-YTHDC2_gGal-7
TCONS_00000288	gene-CERT1_tGut-1
TCONS_00000287	gene-CERT1_tGut-1
TCONS_00000289	gene-CERT1_tGut-1
TCONS_00000290	gene-KLF9_gGal-1
TCONS_00000291	gene-PCGF3_tGut-1
TCONS_00000292	gene-LOC124417145_gGal
TCONS_00000293	gene-MCC_tGut
TCONS_00000294	gene-MCC_tGut
TCONS_00000295	gene-MCC_tGut
TCONS_00000296	gene-REEP5_tGut
TCONS_00000297	gene-REEP5_gGal
TCONS_00000300	gene-EPB41L4A_gGal
TCONS_00000299	gene-EPB41L4A_gGal
TCONS_00000298	gene-EPB41L4A_gGal
TCONS_00000301	gene-NREP_gGal
TCONS_00000302	gene-STARD4_tGut
TCONS_00000303	gene-PJA2_tGut
TCONS_00000304	gene-FBXL17_tGut
TCONS_00000305	gene-FBXL17_tGut
TCONS_00000306	gene-FBXL17_tGut
TCONS_00000307	gene-FBXL17_tGut
TCONS_00000309	gene-EFNA5_tGut
TCONS_00000308	gene-EFNA5_tGut
TCONS_00000310	gene-EFNA5_tGut
TCONS_00000313	gene-FBF1_gGal
TCONS_00000315	gene-FBF1_gGal
TCONS_00000317	gene-FBF1_gGal
TCONS_00000318	gene-FBF1_gGal
TCONS_00000316	gene-FBF1_gGal
TCONS_00000314	gene-FBF1_gGal
TCONS_00000312	gene-FBF1_gGal
TCONS_00000311	gene-FBF1_gGal
TCONS_00000319	gene-NUDT12_tGut
TCONS_00000320	gene-LOC115491120_tGut
TCONS_00000321	gene-LOC115491120_tGut
TCONS_00000322	gene-GIN1_tGut
TCONS_00000323	gene-SLCO4C1_tGut
TCONS_00000324	gene-SLCO4C1_tGut
TCONS_00000325	gene-ST8SIA4_tGut
TCONS_00000328	gene-CHD1_tGut-1
TCONS_00000330	gene-CHD1_tGut-1
TCONS_00000332	gene-CHD1_tGut-1
TCONS_00000331	gene-CHD1_tGut-1
TCONS_00000329	gene-CHD1_tGut-1
TCONS_00000327	gene-CHD1_tGut-1
TCONS_00000326	gene-CHD1_tGut-1
TCONS_00000333	gene-CHD1_tGut-1
TCONS_00000334	gene-RASA1_gGal-like-2
TCONS_00000335	gene-RASA1_gGal-like-2
TCONS_00000336	gene-ADGRV1_gGal
TCONS_00000337	gene-NR2F1_tGut
TCONS_00000339	gene-SLF1_tGut
TCONS_00000338	gene-SLF1_tGut
TCONS_00000340	gene-SLF1_tGut
TCONS_00000341	gene-ARSK_tGut
TCONS_00000342	gene-OSTF1_tGut
TCONS_00000343	gene-NMRK1_gGal
TCONS_00000345	gene-CARNMT1_tGut
TCONS_00000344	gene-CARNMT1_tGut
TCONS_00000346	gene-CZH9orf40_tGut
TCONS_00000347	gene-TRPM6_tGut
TCONS_00000348	gene-TRPM6_tGut
TCONS_00000349	gene-TRPM6_tGut
TCONS_00000350	gene-LOC112530673_gGal
TCONS_00000351	gene-ALDH1A1_tGut
TCONS_00000352	gene-ZFAND5_gGal-1
TCONS_00000353	gene-ABHD17B_tGut
TCONS_00000354	gene-CEMIP2_tGut
TCONS_00000357	gene-TRPM3_tGut
TCONS_00000359	gene-TRPM3_tGut
TCONS_00000361	gene-TRPM3_tGut
TCONS_00000360	gene-TRPM3_tGut
TCONS_00000358	gene-TRPM3_tGut
TCONS_00000356	gene-TRPM3_tGut
TCONS_00000355	gene-TRPM3_tGut
TCONS_00000362	gene-TRPM3_tGut
TCONS_00000363	gene-KLF9_tGut-like-1
TCONS_00000364	gene-PTAR1_tGut
TCONS_00000365	gene-PTAR1_tGut
TCONS_00000368	gene-APBA1_tGut-1
TCONS_00000367	gene-APBA1_tGut-1
TCONS_00000366	gene-APBA1_tGut-1
TCONS_00000369	gene-ARID4B_tGut-like-1
TCONS_00000370	gene-AP3S1_tGut
TCONS_00000372	gene-AP3S1_tGut
TCONS_00000371	gene-AP3S1_tGut
TCONS_00000373	gene-LVRN_tGut
TCONS_00000374	gene-LVRN_tGut
TCONS_00000375	gene-LVRN_tGut
TCONS_00000376	gene-ARL14EPL_tGut
TCONS_00000377	gene-COMMD10_tGut
TCONS_00000378	gene-COMMD10_tGut
TCONS_00000379	gene-COMMD10_tGut
TCONS_00000380	gene-COMMD10_tGut
TCONS_00000383	gene-DMXL1_tGut
TCONS_00000384	gene-DMXL1_tGut
TCONS_00000382	gene-DMXL1_tGut
TCONS_00000381	gene-DMXL1_tGut
TCONS_00000385	gene-TNFAIP8_tGut
TCONS_00000386	gene-TNFAIP8_tGut
TCONS_00000387	gene-TNFAIP8_tGut
TCONS_00000388	gene-TNFAIP8_tGut
TCONS_00000389	gene-HSD17B4_tGut
TCONS_00000390	gene-HSD17B4_tGut
TCONS_00000391	gene-HSD17B4_tGut
TCONS_00000392	gene-SRFBP1_tGut
TCONS_00000393	gene-SRFBP1_tGut
TCONS_00000394	gene-SNCAIP_gGal
TCONS_00000395	gene-SNCAIP_gGal
TCONS_00000398	gene-SNX2_tGut-2
TCONS_00000399	gene-SNX2_tGut-2
TCONS_00000397	gene-SNX2_tGut-2
TCONS_00000396	gene-SNX2_tGut-2
TCONS_00000401	gene-SNX24_tGut
TCONS_00000400	gene-SNX24_tGut
TCONS_00000402	gene-SNX24_tGut
TCONS_00000403	gene-SNX24_tGut
TCONS_00000404	gene-PRDM6_tGut
TCONS_00000405	gene-GRAMD2B_tGut
TCONS_00000406	gene-GRAMD2B_tGut
TCONS_00000407	gene-GRAMD2B_tGut
TCONS_00000408	gene-FEM1C_tGut-like-1
TCONS_00000409	gene-CCDC112_gGal
TCONS_00000412	gene-TRIM36_tGut
TCONS_00000411	gene-TRIM36_tGut
TCONS_00000410	gene-TRIM36_tGut
TCONS_00000414	gene-TRIM36_tGut
TCONS_00000413	gene-TRIM36_tGut
TCONS_00000415	gene-PALM2AKAP2_tGut
TCONS_00000417	gene-PALM2AKAP2_tGut
TCONS_00000416	gene-PALM2AKAP2_tGut
TCONS_00000418	gene-PALM2AKAP2_tGut
TCONS_00000419	gene-SLC46A2_tGut
TCONS_00000420	gene-INIP_tGut
TCONS_00000421	gene-HSDL2_tGut
TCONS_00000422	gene-PTBP3_tGut
TCONS_00000423	gene-PTBP3_tGut
TCONS_00000424	gene-PTBP3_tGut
TCONS_00000425	gene-SUSD1_tGut
TCONS_00000426	gene-SUSD1_tGut
TCONS_00000427	gene-SUSD1_tGut
TCONS_00000428	gene-SUSD1_tGut
TCONS_00000430	gene-SHOC1_tGut
TCONS_00000429	gene-SHOC1_tGut
TCONS_00000431	gene-SHOC1_tGut
TCONS_00000432	gene-SHOC1_tGut
TCONS_00000433	gene-ECPAS_tGut
TCONS_00000434	gene-PTGR1_tGut
TCONS_00000436	gene-MUSK_tGut
TCONS_00000435	gene-MUSK_tGut
TCONS_00000437	gene-MUSK_tGut
TCONS_00000438	gene-MUSK_tGut
TCONS_00000439	gene-NPR1_gGal
TCONS_00000440	gene-NPR1_gGal
TCONS_00000442	gene-TOPORS_tGut
TCONS_00000441	gene-TOPORS_tGut
TCONS_00000443	gene-IFT74_gGal
TCONS_00000444	gene-TEK_gGal
TCONS_00000445	gene-ELP1_tGut
TCONS_00000446	gene-DNAJA1_tGut
TCONS_00000447	gene-DNAJA1_tGut
TCONS_00000448	gene-SPINK4_tGut
TCONS_00000449	gene-HEMGN_tGut
TCONS_00000450	gene-HEMGN_tGut
TCONS_00000451	gene-XPA_tGut
TCONS_00000452	gene-TSTD2_tGut
TCONS_00000453	gene-ACO1_tGut
TCONS_00000454	gene-CDKN2B_gGal
TCONS_00000455	gene-CDKN2A_gGal
TCONS_00000456	gene-SERF1A_tGut
TCONS_00000457	gene-SMN_gGal
TCONS_00000458	gene-SHB_tGut
TCONS_00000459	gene-SHB_tGut
TCONS_00000460	gene-RNF38_tGut
TCONS_00000461	gene-TRIM14_tGut
TCONS_00000464	gene-CLTA_tGut
TCONS_00000463	gene-CLTA_tGut
TCONS_00000462	gene-CLTA_tGut
TCONS_00000465	gene-CPLX1_tGut
TCONS_00000466	gene-SLC49A3_tGut
TCONS_00000467	gene-CHRNA8_gGal
TCONS_00000468	gene-CHRNA8_gGal
TCONS_00000469	gene-LOC100857745_gGal
TCONS_00000470	gene-TMEM175_tGut
TCONS_00000471	gene-ATP5ME_tGut
TCONS_00000472	gene-RBP4_gGal
TCONS_00000473	gene-SLC26A1_tGut
TCONS_00000474	gene-SLC26A1_tGut
TCONS_00000475	gene-SLC26A1_tGut
TCONS_00000476	gene-CHRNA6_tGut
TCONS_00000477	gene-CHRNA6_tGut
TCONS_00000478	gene-CHRNA6_tGut
TCONS_00000479	gene-HOOK3_tGut
TCONS_00000483	gene-HOOK3_tGut
TCONS_00000482	gene-HOOK3_tGut
TCONS_00000481	gene-HOOK3_tGut
TCONS_00000480	gene-HOOK3_tGut
TCONS_00000484	gene-HOOK3_tGut
TCONS_00000485	gene-HOOK3_tGut
TCONS_00000486	gene-FUT10_tGut
TCONS_00000487	gene-NIPSNAP3A_gGal
TCONS_00000488	gene-SLC44A1_tGut
TCONS_00000489	gene-SLC44A1_tGut
TCONS_00000491	gene-SLC27A6_tGut
TCONS_00000490	gene-SLC27A6_tGut
TCONS_00000492	gene-ISOC1_tGut
TCONS_00000493	gene-ADAMTS19_tGut
TCONS_00000494	gene-MINAR2_tGut
TCONS_00000495	gene-CHSY3_tGut
TCONS_00000496	gene-LYRM7_tGut
TCONS_00000497	gene-CDC42SE2_gGal
TCONS_00000498	gene-SPTLC1_tGut
TCONS_00000499	gene-ROR2_tGut
TCONS_00000500	gene-LOC124417514_gGal
TCONS_00000501	gene-NFIL3_tGut
TCONS_00000502	gene-AUH_tGut
TCONS_00000506	gene-AUH_tGut
TCONS_00000508	gene-AUH_tGut
TCONS_00000507	gene-AUH_tGut
TCONS_00000505	gene-AUH_tGut
TCONS_00000504	gene-AUH_tGut
TCONS_00000503	gene-AUH_tGut
TCONS_00000509	gene-DIRAS2_tGut
TCONS_00000510	gene-SEMA4D_tGut
TCONS_00000511	gene-SEMA4D_tGut
TCONS_00000512	gene-SEMA4D_tGut
TCONS_00000513	gene-SHC3_tGut
TCONS_00000514	gene-SHC3_tGut
TCONS_00000515	gene-CFC1_gGal
TCONS_00000516	gene-CFC1_gGal
TCONS_00000517	gene-LOC115491157_tGut
TCONS_00000518	gene-LOC115491274_tGut
TCONS_00000519	gene-PRXL2C_tGut
TCONS_00000520	gene-CDC14B_tGut
TCONS_00000522	gene-CDC14B_tGut
TCONS_00000521	gene-CDC14B_tGut
TCONS_00000523	gene-CDC14B_tGut
TCONS_00000524	gene-ZNF367_tGut
TCONS_00000525	gene-ZNF367_tGut
TCONS_00000526	gene-PTCH1_tGut-2
TCONS_00000527	gene-PTCH1_tGut-2
TCONS_00000528	gene-PTCH1_tGut-2
TCONS_00000529	gene-PTCH1_tGut-2
TCONS_00000530	gene-FANCC_tGut
TCONS_00000531	gene-FANCC_tGut
TCONS_00000532	gene-FBP1_gGal
TCONS_00000533	gene-FBP2_gGal
TCONS_00000534	gene-GAS1_tGut
TCONS_00000535	gene-TUT7_tGut
TCONS_00000536	gene-TUT7_tGut
TCONS_00000537	gene-ISCA1_tGut
TCONS_00000538	gene-GOLM1_tGut
TCONS_00000539	gene-AGTPBP1_tGut
TCONS_00000540	gene-AGTPBP1_tGut
TCONS_00000542	gene-AGTPBP1_tGut
TCONS_00000541	gene-AGTPBP1_tGut
TCONS_00000543	gene-AGTPBP1_tGut
TCONS_00000544	gene-SLC28A3_tGut
TCONS_00000547	gene-HNRNPK_gGal-like-2
TCONS_00000546	gene-HNRNPKL_gGal-like-2
TCONS_00000545	gene-HNRNPK_gGal-like-2
TCONS_00000550	gene-HNRNPKL_gGal-like-2
TCONS_00000549	gene-HNRNPK_gGal-like-2
TCONS_00000548	gene-HNRNPKL_gGal-like-2
TCONS_00000551	gene-CZH9orf64_tGut
TCONS_00000554	gene-UBQLN1_tGut-1
TCONS_00000556	gene-UBQLN1_tGut-1
TCONS_00000558	gene-UBQLN1_tGut-1
TCONS_00000557	gene-UBQLN1_tGut-1
TCONS_00000555	gene-UBQLN1_tGut-1
TCONS_00000553	gene-UBQLN1_tGut-1
TCONS_00000552	gene-UBQLN1_tGut-1
TCONS_00000560	gene-UBQLN1_tGut-1
TCONS_00000559	gene-UBQLN1_tGut-1
TCONS_00000561	gene-FRMD3_tGut
TCONS_00000562	gene-FRMD3_tGut
TCONS_00000563	gene-FRMD3_tGut
TCONS_00000564	gene-RASEF_tGut
TCONS_00000567	gene-TLE1_gGal
TCONS_00000568	gene-TLE1_gGal
TCONS_00000566	gene-TLE1_gGal
TCONS_00000565	gene-TLE1_gGal
TCONS_00000569	gene-TLE1_gGal
TCONS_00000570	gene-GNAQ_gGal-2
TCONS_00000571	gene-GNAQ_gGal-2
TCONS_00000574	gene-PRUNE2_tGut
TCONS_00000576	gene-PRUNE2_tGut
TCONS_00000578	gene-PRUNE2_tGut
TCONS_00000577	gene-PRUNE2_tGut
TCONS_00000575	gene-PRUNE2_tGut
TCONS_00000573	gene-PRUNE2_tGut
TCONS_00000572	gene-PRUNE2_tGut
TCONS_00000579	gene-RFK_tGut
TCONS_00000580	gene-PIP5K1B_gGal
TCONS_00000581	gene-PIP5K1B_gGal
TCONS_00000582	gene-PIP5K1B_gGal
TCONS_00000583	gene-PIP5K1B_gGal
TCONS_00000584	gene-FXN_tGut
TCONS_00000585	gene-TJP2_gGal
TCONS_00000586	gene-TJP2_gGal
TCONS_00000587	gene-TJP2_gGal
TCONS_00000588	gene-TJP2_gGal
TCONS_00000589	gene-IFNKL1_gGal
TCONS_00000590	gene-HACD4_tGut
TCONS_00000592	gene-MLLT3_tGut
TCONS_00000591	gene-MLLT3_tGut
TCONS_00000593	gene-MLLT3_tGut
TCONS_00000596	gene-SLC24A2_tGut
TCONS_00000597	gene-SLC24A2_tGut
TCONS_00000595	gene-SLC24A2_tGut
